ts,src_ip,dst_ip,pred,score,pkt_count,byte_count,duration,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,mean_iat,std_iat,tcp_flag_syn,tcp_flag_ack,tcp_flag_psh,tcp_flag_rst,tcp_flag_fin,src_port,dst_port,proto_tcp,proto_udp,proto_icmp,dir_outbound
1755172229.7112846,10.7.72.134,172.64.155.209,1,0.5,210.0,137346.0,50.35742664337158,654.0285714285715,666.7071386354603,54.0,1454.0,0.24094462508790232,0.933166361354996,0.0,210.0,38.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172279.9621005,52.123.128.14,10.7.72.134,1,0.5,10.0,6751.0,0.10967278480529785,675.1,688.7104544001056,56.0,1514.0,0.012185864978366427,0.02841342244769205,1.0,10.0,2.0,0.0,0.0,443.0,52024.0,1.0,0.0,0.0,0.0
1755172280.7048738,52.123.128.14,10.7.72.134,1,0.5,90.0,116653.0,0.8550617694854736,1296.1444444444444,483.5331210328849,56.0,1514.0,0.009607435612196333,0.02697608301116244,1.0,90.0,19.0,0.0,0.0,443.0,52024.0,1.0,0.0,0.0,0.0
1755172280.7802243,52.123.128.14,10.7.72.134,1,0.5,100.0,131793.0,0.9254086017608643,1317.93,463.3522904874864,56.0,1514.0,0.009347561633948124,0.026453584207719386,1.0,100.0,21.0,0.0,0.0,443.0,52024.0,1.0,0.0,0.0,0.0
1755172280.8517613,52.123.128.14,10.7.72.134,1,0.5,110.0,146776.0,1.0033867359161377,1334.3272727272727,445.0482733590085,56.0,1514.0,0.00920538289831319,0.026061889194302874,1.0,110.0,23.0,0.0,0.0,443.0,52024.0,1.0,0.0,0.0,0.0
1755172315.4843383,40.79.141.153,10.7.72.134,1,0.5,10.0,7025.0,0.5175442695617676,702.5,678.9417132567419,56.0,1514.0,0.0575049188401964,0.07821574968531636,1.0,10.0,2.0,0.0,0.0,443.0,52026.0,1.0,0.0,0.0,0.0
1755172366.9190886,52.123.129.14,10.7.72.134,1,0.5,10.0,6706.0,0.0998845100402832,670.6,691.2367467083907,56.0,1514.0,0.0110982788933648,0.01924662524694887,1.0,10.0,2.0,0.0,0.0,443.0,52033.0,1.0,0.0,0.0,0.0
1755172447.5959709,10.7.72.134,172.64.155.209,1,0.5,10.0,8300.0,0.3056964874267578,830.0,643.5377222820741,54.0,1454.0,0.03397263420952691,0.04055971674189141,1.0,9.0,3.0,0.0,0.0,52036.0,443.0,1.0,0.0,0.0,1.0
1755172460.1347451,2.16.158.91,10.7.72.134,1,0.5,60.0,69810.0,1.046433448791504,1163.5,574.4583680882947,56.0,1514.0,0.017736160149008542,0.036144849020161136,1.0,60.0,29.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172460.43576,2.16.158.91,10.7.72.134,1,0.51,90.0,113253.0,1.3332014083862305,1258.3666666666666,503.69118515217235,56.0,1514.0,0.014979791105463264,0.033063194209244376,1.0,90.0,46.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172461.1176102,2.16.158.91,10.7.72.134,1,0.5,120.0,147249.0,1.93300461769104,1227.075,503.53148134782333,56.0,1514.0,0.016243736283117982,0.03637443785620094,1.0,120.0,64.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172461.367741,2.16.158.91,10.7.72.134,1,0.5,130.0,162389.0,2.2351150512695312,1249.1461538461538,489.7817898982937,56.0,1514.0,0.01732647326565528,0.0417962234363829,1.0,130.0,69.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172461.7091527,2.16.158.91,10.7.72.134,1,0.51,140.0,175603.0,2.608696222305298,1254.307142857143,483.7026964163092,56.0,1514.0,0.018767598721620846,0.04556966901048444,1.0,140.0,75.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172461.8239765,2.16.158.91,10.7.72.134,1,0.51,150.0,190743.0,2.7343969345092773,1271.62,471.7697555658551,56.0,1514.0,0.018351657278585756,0.04511176170070825,1.0,150.0,80.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172461.9278607,2.16.158.91,10.7.72.134,1,0.51,160.0,205883.0,2.847623825073242,1286.76875,460.54158636700504,56.0,1514.0,0.01790958380549209,0.04446353227920385,1.0,160.0,85.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172462.0005603,2.16.158.91,10.7.72.134,1,0.51,170.0,221023.0,2.9319396018981934,1300.1352941176472,449.9786654304408,56.0,1514.0,0.01734875504081771,0.043577407968560154,1.0,170.0,90.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172462.0845065,2.16.158.91,10.7.72.134,1,0.51,180.0,236163.0,3.01027774810791,1312.0166666666667,440.03602724978987,56.0,1514.0,0.016817194123507878,0.04272180699670342,1.0,180.0,95.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172462.156569,2.16.158.91,10.7.72.134,1,0.51,190.0,251303.0,3.087585926055908,1322.6473684210525,430.66782518661586,56.0,1514.0,0.01633643347119528,0.04192880900301953,1.0,190.0,100.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172462.2360106,2.16.158.91,10.7.72.134,1,0.51,200.0,266443.0,3.1612205505371094,1332.215,421.8296916707025,56.0,1514.0,0.01588553040470909,0.04114807236653937,1.0,200.0,105.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172462.317237,2.16.158.91,10.7.72.134,1,0.51,210.0,281583.0,3.2405178546905518,1340.8714285714286,413.47988681763115,56.0,1514.0,0.015504870118136612,0.040486797968829744,1.0,210.0,110.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172462.4389455,2.16.158.91,10.7.72.134,1,0.51,220.0,296723.0,3.349541425704956,1348.740909090909,405.5797771082449,56.0,1514.0,0.015294709706415324,0.04017589596169315,1.0,220.0,115.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
